"country_code","state_code","name","postcode"
"AU","QLD","Eungella","4757"
"AU","QLD","Mount Louisa","4814"
"AU","VIC","Kalpienung","3529"
"AU","QLD","Prairie","4816"
"AU","VIC","Westall","3169"
"AU","NSW","Bermagui","2546"
"AU","NSW","Brownlow Hill","2570"
"AU","VIC","Stavely","3291"
"AU","NSW","Buff Point","2262"
"AU","NSW","Comara","2440"
"AU","SA","Bowden","5007"
"AU","SA","Windsor","5501"
"AU","NT","Epenarra",""
"AU","NSW","Fairy Meadow","2519"
"AU","NSW","Turramurra South","2074"
"AU","TAS","Takone","7325"
"AU","WA","Dinninup","6244"
"AU","SA","Morchard","5486"
"AU","TAS","Alcomie","7330"
"AU","NSW","Wategos Beach","2481"
"AU","NSW","Brightwaters","2264"
"AU","QLD","Bungunya","4494"
"AU","ACT","Mulanggarri","2914"
"AU","NSW","Brewongle","2795"
"AU","NSW","Cathcart","2632"
"AU","NSW","Willoughby","2068"
"NZ","SI","Kaiteriteri",""
"AU","NSW","Quakers Hill","2763"
"AU","NSW","Tarcutta","2652"
"AU","NSW","Safety Beach","0"
"AU","NSW","Godfreys Creek","2586"
"AU","VIC","Mernda","3754"
"AU","NSW","Molong","2866"
"AU","WA","Kirup","6251"
"AU","WA","Wamenusking","6383"
"AU","VIC","Murgheboluc","3221"
"AU","VIC","Ellerside","3951"
"AU","VIC","Newcomb","3219"
"AU","NSW","Fivebough","2705"
"AU","VIC","Carngham","3351"
"AU","NSW","Warners Bay","2282"
"AU","QLD","Mica Creek","4825"
"AU","NSW","Bergalia","2537"
"AU","VIC","Koondrook","3580"
"AU","QLD","Marian","4753"
"AU","VIC","Lindenow","3865"
"AU","VIC","Talgarno","3691"
"AU","WA","Wilson Park","6225"
"AU","NSW","South Turramurra","2074"
"AU","VIC","Lal Lal","3352"
"AU","NSW","Rodd Point","2046"
"AU","VIC","Ballarat East","3350"
"AU","QLD","Kangaroo Point","4169"
"AU","NSW","Horseshoe Creek","2474"
"AU","VIC","Willowvale","3360"
"AU","NSW","Mullumbimby Creek","2482"
"AU","TAS","Ravenswood","7250"
"AU","VIC","Bennettswood","3125"
"AU","SA","Ridgehaven","5097"
"AU","WA","Kondut","6605"
"AU","TAS","Perth","7300"
"AU","QLD","Picnic Point","4350"
"AU","WA","Beckenham","6107"
"AU","VIC","Goulburn Weir","3608"
"AU","WA","Mandurah East","6210"
"AU","QLD","Isle Of Capri","4217"
"AU","NSW","Burnt Bridge","2440"
"AU","WA","Warnbro","6169"
"AU","NSW","Lindfield West","2070"
"AU","QLD","Bellenden Ker","4871"
"AU","QLD","Eumundi","4562"
"AU","SA","Alma","5401"
"AU","VIC","Morea","3413"
"AU","WA","Pingelly","6308"
"AU","QLD","Mons","4556"
"AU","SA","Crystal Brook","5523"
"AU","NSW","Adamstown","2289"
"AU","NSW","Malua Bay","2536"
"AU","WA","Westcliffe","6370"
"AU","QLD","Kooringal","4025"
"AU","TAS","Bagdad","7030"
"AU","NSW","Tabourie Lake","2539"
"AU","SA","Waterloo","5413"
"AU","WA","Edgewater","6027"
"AU","VIC","Hawkesdale","3287"
"AU","NSW","Douglas Park","2569"
"AU","NSW","Quandialla","2721"
"AU","TAS","Acton","7320"
"AU","VIC","Woorarra West","3960"
"AU","NSW","Cunninyeuk","2734"
"AU","QLD","Tabooba","4285"
"AU","VIC","Nalinga","3646"
"AU","QLD","Kerrydale","4226"
"AU","NSW","Mount Frome","2850"
"AU","VIC","Cabanandra","3888"
"AU","NSW","Olinda","2849"
"AU","NSW","Eltham","2480"
"AU","WA","Boscabel","6395"
"AU","VIC","Nullan","3392"
